795481,304787
1972428,7808522
4883900,5811635
3007690,1948563
1132383,3474266
5912215,1830360
3328949,3328949
1987760,1316335
4723775,5158093
2315221,4926268
1615740,329827
5809504,5809504
1436695,8148106
4264072,959827
7513073,7513073
4545259,225691
361456,1861312
7743387,7309679
4580013,887823
4650291,1191980
1721457,1417255
5843348,5825891
3518432,1606655
2373765,2373765
4478945,1849503
3382768,3382768
4612962,4612962
2059636,5443622
3196303,4522498
4845457,6241538
5163565,2377326
4246772,6544018
5172365,5448210
5128677,2866708
4522621,4522621
4067343,4067343
4249774,4249774
1725788,1725788
3725947,5370323
2510647,4660620
1261221,7539861
3922044,3922044
7137237,7137237
6806279,7130083
2024698,6385732
3623146,3963101
6326270,4235785
4337843,6980038
1772876,1772876
7945341,6568894
6896860,7079448
5918075,5784030
2104159,1829295
7953470,599752
516805,5634042
6268742,145849
5352055,5352055
1162510,7125593
1460179,7958153
604983,6987720
5808858,5808858
5909627,7230753
3682203,1104415
5843358,5843358
2430843,1332114
7713843,11745
2894091,1764853
5551208,4895993
8180870,8180870
6383014,1630333
320558,1611287
7724509,7724509
6540735,5206258
2192478,1184790
6558714,6558714
4166329,4166316
5666291,5666291
5400835,5400835
4538349,4538349
2470178,2601949
1763805,3146499
4289225,4430104
6789700,6789700
6452221,6452221
6827141,6827141
1432271,7033651
5633478,3252411
4689024,4689024
4232583,1333871
5301551,5301551
91597,1502075
2247475,1871628
6205459,6205459
6314822,1205277
7762636,2230667
6223564,906359
4997728,5630302
4592873,3597114
4245482,5148090
7860068,7860068
3835632,2779185
7390854,7390849
6231155,6231155
770405,1314376
7121620,7121620
7597580,6071421
4490050,2462658
4983323,6335570
8081162,1536400
1620915,2294459
1177583,2518190
6810996,4092546
2373477,2373477
7311906,3890561
1390252,5408556
6255119,6255119
5764622,5764622
3472949,3472949
4154335,7740041
3409684,1519806
2565490,5821568
253850,2591484
7943533,1038113
1126461,1126461
1769719,6652879
5216771,5216771
3963537,6237548
7781710,59565
2804556,5731359
6970642,6970642
2085417,570207
1410411,2911186
2463235,2463235
4906054,4906054
130435,6107670
4255626,4255626
7340762,146042
5581258,5744449
3451521,3451521
1134739,4608623
1671816,7064666
7175005,7175005
564567,1115083
1136495,2086466
5974103,1043095
6273873,6273873
6145181,6145181
859135,2556289
2397019,5889107
8211997,8211997
3085818,1646540
1276115,1276115
959590,3530351
3432324,4736270
1507282,2785955
278916,6047153
285525,3304670
5435125,2016925
6691674,6691674
6409138,6409138
3525807,3525807
5589548,6544407
2570494,5286055
6019155,2877643
915130,1545261
3548915,7612576
1974732,4552388
6301588,3402319
4935554,4935554
5420554,5420554
4072530,3421407
2313048,5831537
4084028,2562275
4440555,4439758
370402,4675594
7493094,4688294
7127202,2127343
3850117,8065158
3668998,3668998
8079599,6358594
4732033,4855026
7092994,4292702
3402801,3402801
4297791,3688624
1935206,7301201
194184,1937063
7749931,6198314
938157,1451278
6478236,2228051
969136,2060564
3525628,3525628
2625804,7507959
2289080,1859851
6446242,1311021
3462924,1498797
4754152,4244933
6486407,6486407
4837333,3259804
8134607,8134607
6389734,7282295
1774109,5986557
7860263,7860263
3386523,5122805
4355274,1297770
7243456,2703274
522371,522371
7301151,7301151
5041526,5284268
1676991,6730477
3371037,3371037
6638501,6638501
2726376,5006138
7782916,7782916
5356980,5356980
4536383,897511
5875573,4234936
6690400,6690400
5510924,5510924
768515,7418991
7933903,4707128
4079132,4079132
7309995,7309996
4267246,3451921
5709600,5709600
7068357,5145860
5581158,7716428
7960437,5432687
7338391,3169639
6652303,6563298
528556,1101850
5744575,5744575
8187409,7327884
8231393,1782098
3649791,3649791
3000215,3000215
6165447,4145137
6060421,5184855
3918760,5275098
7350096,8098058
62827,62827
4187541,756154
7505917,7095552
3598521,7570152
3915767,3915767
4804555,4804555
5889851,4335827
5905928,5905928
2191841,3574132
7320888,1761228
3776223,6970012
2444633,2444633
1213788,5551692
7191043,7191043
2415474,2415474
7734118,7734118
5173393,5173393
5097797,5097797
5576753,5145216
1664533,4224833
2556395,2556395
7303762,7303762
222474,281404
6557760,5083314
3871004,3524645
